Server-Locale,Server-Response-Time,Server-Current-Load,IP-Locale,Last-Request-Time-Delta,Overloaded
Antarctica (AN),490,0,Antarctica (AN),104.9195408821106,False
Antarctica (AN),378,0,Antarctica (AN),104.93107199668884,False
Antarctica (AN),490,0,Antarctica (AN),0.9437260627746582,False
North America (NA),429,0,North America (NA),104.95691108703613,False
North America (NA),215,0,North America (NA),104.96755719184875,False
North America (NA),562,0,North America (NA),104.97811603546143,False
North America (NA),337,0,North America (NA),104.99075293540955,False
North America (NA),491,0,North America (NA),105.00274515151978,False
Oceania (OC),236,0,Oceania (OC),144.01369190216064,False
Oceania (OC),442,0,Oceania (OC),144.02459192276,False
Antarctica (AN),378,0,Antarctica (AN),1.0355329513549805,False
Antarctica (AN),490,0,Antarctica (AN),1.0468218326568604,False
Antarctica (AN),378,0,Antarctica (AN),0.05873513221740723,False
Antarctica (AN),490,0,Antarctica (AN),0.06953907012939453,False
Antarctica (AN),378,0,Antarctica (AN),0.08219194412231445,False
Antarctica (AN),490,0,Antarctica (AN),0.0924217700958252,False
Antarctica (AN),378,0,Antarctica (AN),0.10355091094970703,False
Antarctica (AN),490,0,Antarctica (AN),0.1152350902557373,False
Antarctica (AN),378,0,Antarctica (AN),0.12650609016418457,False
North America (NA),486,0,North America (NA),105.13915395736694,False
Africa (AF),211,0,Africa (AF),146.1509461402893,False
Africa (AF),417,0,Africa (AF),146.16178107261658,False
Africa (AF),295,0,Africa (AF),146.17303919792175,False
Africa (AF),296,0,Africa (AF),146.18549704551697,False
Africa (AF),211,0,Africa (AF),0.19579100608825684,False
Africa (AF),417,0,Africa (AF),0.20618391036987305,False
Africa (AF),295,0,Africa (AF),0.21751713752746582,False
Africa (AF),296,0,Africa (AF),0.228377103805542,False
Africa (AF),211,0,Africa (AF),0.23964595794677734,False
Africa (AF),417,0,Africa (AF),0.25081706047058105,False
Africa (AF),295,0,Africa (AF),0.2629051208496094,False
Africa (AF),296,0,Africa (AF),0.27382922172546387,False
Africa (AF),211,0,Africa (AF),0.2856168746948242,False
Africa (AF),417,0,Africa (AF),0.29627394676208496,False
Africa (AF),295,0,Africa (AF),0.3088681697845459,False
Africa (AF),296,0,Africa (AF),0.32045888900756836,False
Africa (AF),211,0,Africa (AF),0.33254098892211914,False
Africa (AF),417,0,Africa (AF),0.34282493591308594,False
Africa (AF),295,0,Africa (AF),0.3550839424133301,False
Africa (AF),296,0,Africa (AF),0.36743903160095215,False
Africa (AF),211,0,Africa (AF),0.37766408920288086,False
Africa (AF),417,0,Africa (AF),0.3902578353881836,False
Africa (AF),295,0,Africa (AF),0.40077900886535645,False
Africa (AF),296,0,Africa (AF),0.4116179943084717,False
Africa (AF),211,0,Africa (AF),0.4229910373687744,False
Africa (AF),417,0,Africa (AF),0.43547487258911133,False
Africa (AF),295,0,Africa (AF),0.44654011726379395,False
Africa (AF),296,0,Africa (AF),0.458996057510376,False
Africa (AF),211,0,Africa (AF),0.47066593170166016,False
Africa (AF),417,0,Africa (AF),0.4815690517425537,False
Africa (AF),295,0,Africa (AF),0.49217891693115234,False
Africa (AF),296,0,Africa (AF),0.5027761459350586,False
Africa (AF),211,0,Africa (AF),0.5145149230957031,False
Africa (AF),417,0,Africa (AF),0.5271730422973633,False
Africa (AF),295,0,Africa (AF),0.5397980213165283,False
Africa (AF),296,0,Africa (AF),0.5508139133453369,False
Africa (AF),211,0,Africa (AF),0.5634810924530029,False
Africa (AF),417,0,Africa (AF),0.5757381916046143,False
Africa (AF),295,0,Africa (AF),0.5861239433288574,False
Africa (AF),296,0,Africa (AF),0.5971379280090332,False
Africa (AF),211,0,Africa (AF),0.6081910133361816,False
Africa (AF),417,0,Africa (AF),0.6197249889373779,False
Africa (AF),295,0,Africa (AF),0.6299290657043457,False
Africa (AF),296,0,Africa (AF),0.6409800052642822,False
Africa (AF),211,0,Africa (AF),0.6520431041717529,False
Africa (AF),417,0,Africa (AF),0.6630799770355225,False
Africa (AF),295,0,Africa (AF),0.6734111309051514,False
Africa (AF),296,0,Africa (AF),0.6839711666107178,False
Africa (AF),211,0,Africa (AF),0.6955709457397461,False
Africa (AF),417,0,Africa (AF),0.7060699462890625,False
Africa (AF),295,0,Africa (AF),0.7174639701843262,False
Africa (AF),296,0,Africa (AF),0.7301249504089355,False
Africa (AF),211,0,Africa (AF),0.7427740097045898,False
