Server-Locale,Server-Response-Time,Server-Current-Load,IP-Locale,Last-Request-Time-Delta,Overloaded
Antarctica (AN),378,0,Antarctica (AN),1.9300649166107178,False
Antarctica (AN),490,0,Antarctica (AN),1.9403021335601807,False
Antarctica (AN),378,0,Antarctica (AN),0.9520440101623535,False
North America (NA),215,0,North America (NA),1.964411973953247,False
North America (NA),562,0,North America (NA),1.9761860370635986,False
North America (NA),337,0,North America (NA),1.987062931060791,False
North America (NA),491,0,North America (NA),1.9972281455993652,False
North America (NA),486,0,North America (NA),2.0091588497161865,False
Oceania (OC),236,0,Oceania (OC),2.0195000171661377,False
Oceania (OC),442,0,Oceania (OC),2.0321459770202637,False
