Server-Locale,Server-Response-Time,Server-Current-Load,IP-Locale,Last-Request-Time-Delta,Overloaded
Africa (AF),511,0,Africa (AF),3.5402932167053223,False
Africa (AF),238,0,Africa (AF),3.5525131225585938,False
Africa (AF),575,0,Africa (AF),3.565199851989746,False
Africa (AF),567,0,Africa (AF),3.5755839347839355,False
Africa (AF),511,0,Africa (AF),0.588209867477417,False
Africa (AF),238,0,Africa (AF),0.6008429527282715,False
Africa (AF),575,0,Africa (AF),0.6120729446411133,False
Africa (AF),567,0,Africa (AF),0.623682975769043,False
Africa (AF),511,0,Africa (AF),0.6341681480407715,False
Africa (AF),238,0,Africa (AF),0.645226001739502,False
Africa (AF),575,0,Africa (AF),0.6562769412994385,False
Africa (AF),567,0,Africa (AF),0.6673710346221924,False
Africa (AF),511,0,Africa (AF),0.6784830093383789,False
Africa (AF),238,0,Africa (AF),0.6892249584197998,False
Africa (AF),575,0,Africa (AF),0.700347900390625,False
Africa (AF),567,0,Africa (AF),0.7109849452972412,False
Africa (AF),511,0,Africa (AF),0.7220327854156494,False
Africa (AF),238,0,Africa (AF),0.732302188873291,False
Africa (AF),575,0,Africa (AF),0.7432861328125,False
Africa (AF),567,0,Africa (AF),0.7543361186981201,False
Africa (AF),511,0,Africa (AF),0.765388011932373,False
Antarctica (AN),587,0,Antarctica (AN),3.7764439582824707,False
Antarctica (AN),297,0,Antarctica (AN),3.7874979972839355,False
Antarctica (AN),587,0,Antarctica (AN),0.7999269962310791,False
Antarctica (AN),297,0,Antarctica (AN),0.810521125793457,False
Antarctica (AN),587,0,Antarctica (AN),0.8206930160522461,False
Antarctica (AN),297,0,Antarctica (AN),0.8317408561706543,False
Antarctica (AN),587,0,Antarctica (AN),0.8427920341491699,False
Antarctica (AN),297,0,Antarctica (AN),0.8533270359039307,False
Antarctica (AN),587,0,Antarctica (AN),0.864260196685791,False
Antarctica (AN),297,0,Antarctica (AN),0.8752150535583496,False
Antarctica (AN),587,0,Antarctica (AN),0.8863091468811035,False
Antarctica (AN),297,0,Antarctica (AN),0.8973398208618164,False
