Server-Locale,Server-Response-Time,Server-Current-Load,Last-Request-Time-Delta,Overloaded
Africa (AF),510,0,5.264742851257324,False
Africa (AF),323,0,5.277409076690674,False
Africa (AF),486,0,5.288021087646484,False
Africa (AF),434,0,5.299972057342529,False
Africa (AF),510,0,0.3133361339569092,False
Africa (AF),323,0,0.3252689838409424,False
Africa (AF),486,0,0.33670496940612793,False
Africa (AF),434,0,0.346843957901001,False
Africa (AF),510,0,0.35720086097717285,False
Africa (AF),323,0,0.3675270080566406,False
Africa (AF),486,0,0.3779001235961914,False
Africa (AF),434,0,0.3882710933685303,False
Africa (AF),510,0,0.40201282501220703,False
Africa (AF),323,0,0.41394686698913574,False
Africa (AF),486,0,0.4242250919342041,False
Africa (AF),434,0,0.4359920024871826,False
Africa (AF),510,0,0.44614195823669434,False
Africa (AF),323,0,0.45635414123535156,False
Africa (AF),486,0,0.46877002716064453,False
Africa (AF),434,0,0.48114681243896484,False
Africa (AF),510,0,0.4936220645904541,False
Africa (AF),323,0,0.5057549476623535,False
Africa (AF),486,0,0.516801118850708,False
Africa (AF),434,0,0.5278770923614502,False
Africa (AF),510,0,0.5389120578765869,False
Africa (AF),323,0,0.5491278171539307,False
Africa (AF),486,0,0.5597150325775146,False
Africa (AF),434,0,0.569890022277832,False
Africa (AF),510,0,0.5801248550415039,False
Africa (AF),323,0,0.5910961627960205,False
Africa (AF),486,0,0.6025280952453613,False
Africa (AF),434,0,0.6150882244110107,False
Africa (AF),510,0,0.625999927520752,False
Africa (AF),323,0,0.6367061138153076,False
Africa (AF),486,0,0.6469149589538574,False
Africa (AF),434,0,0.658289909362793,False
Africa (AF),510,0,0.6692769527435303,False
Africa (AF),323,0,0.6799511909484863,False
Africa (AF),486,0,0.6901519298553467,False
Africa (AF),434,0,0.7018558979034424,False
Africa (AF),510,0,0.7121100425720215,False
Africa (AF),323,0,0.7226958274841309,False
Africa (AF),486,0,0.7331929206848145,False
Africa (AF),434,0,0.743610143661499,False
Africa (AF),510,0,0.7560279369354248,False
Africa (AF),323,0,0.7675089836120605,False
Africa (AF),486,0,0.7782189846038818,False
Africa (AF),434,0,0.7891571521759033,False
Africa (AF),510,0,0.799713134765625,False
Africa (AF),323,0,0.8113820552825928,False
Africa (AF),486,0,0.8240268230438232,False
Africa (AF),434,0,0.8357110023498535,False
Africa (AF),510,0,0.8463029861450195,False
Africa (AF),323,0,0.8569998741149902,False
Africa (AF),486,0,0.8688919544219971,False
Africa (AF),434,0,0.8797879219055176,False
Africa (AF),510,0,0.8903539180755615,False
Africa (AF),323,0,0.9019110202789307,False
Africa (AF),486,0,0.9130308628082275,False
Africa (AF),434,0,0.9240751266479492,False
Africa (AF),510,0,0.9365408420562744,False
Africa (AF),323,0,0.9476668834686279,False
Africa (AF),486,0,0.9609458446502686,False
Africa (AF),434,0,0.9833180904388428,False
Africa (AF),510,0,0.9980411529541016,False
Africa (AF),323,0,1.013153076171875,False
Africa (AF),486,0,1.0263400077819824,False
Africa (AF),434,0,1.0399558544158936,False
Africa (AF),510,0,0.05548214912414551,False
Africa (AF),323,0,0.06684207916259766,False
Africa (AF),486,0,0.07747507095336914,False
Africa (AF),434,0,0.08916783332824707,False
Africa (AF),510,0,0.10099101066589355,False
Africa (AF),323,0,0.11256694793701172,False
Africa (AF),486,0,0.12395596504211426,False
Africa (AF),434,0,0.13557195663452148,False
Africa (AF),510,0,0.1472640037536621,False
Africa (AF),323,0,0.15817499160766602,False
Africa (AF),486,0,0.16967511177062988,False
Africa (AF),434,0,0.18114614486694336,False
Africa (AF),510,0,0.19361591339111328,False
Africa (AF),323,0,0.2062849998474121,False
Africa (AF),486,0,0.21868109703063965,False
Africa (AF),434,0,0.23114609718322754,False
Africa (AF),510,0,0.24363398551940918,False
Africa (AF),323,0,0.25639915466308594,False
Africa (AF),486,0,0.2714359760284424,False
Africa (AF),434,0,0.28159308433532715,False
Africa (AF),510,0,0.29370999336242676,False
Africa (AF),323,0,0.30499982833862305,False
Africa (AF),486,0,0.31543803215026855,False
Africa (AF),434,0,0.32643890380859375,False
Africa (AF),510,0,0.3376009464263916,False
Africa (AF),323,0,0.3479931354522705,False
Africa (AF),486,0,0.3597860336303711,False
Africa (AF),434,0,0.37038588523864746,False
Africa (AF),510,0,0.3807229995727539,False
Africa (AF),323,0,0.3933141231536865,False
Africa (AF),486,0,0.4053499698638916,False
Africa (AF),434,0,0.41776514053344727,False
Africa (AF),510,0,0.42809391021728516,False
Africa (AF),323,0,0.438262939453125,False
Africa (AF),486,0,0.45070910453796387,False
Africa (AF),434,0,0.46114110946655273,False
Africa (AF),510,0,0.4728209972381592,False
Africa (AF),323,0,0.4849720001220703,False
Africa (AF),486,0,0.49521398544311523,False
Africa (AF),434,0,0.5057940483093262,False
Africa (AF),510,0,0.5178749561309814,False
Africa (AF),323,0,0.5284621715545654,False
Africa (AF),486,0,0.539790153503418,False
Africa (AF),434,0,0.5510320663452148,False
Africa (AF),510,0,0.5617430210113525,False
Africa (AF),323,0,0.5741958618164062,False
Africa (AF),486,0,0.5852839946746826,False
Africa (AF),434,0,0.5963039398193359,False
Africa (AF),510,0,0.6073977947235107,False
Africa (AF),323,0,0.6175370216369629,False
Africa (AF),486,0,0.6277918815612793,False
Africa (AF),434,0,0.6385369300842285,False
Africa (AF),510,0,0.658268928527832,False
Africa (AF),323,0,0.669093132019043,False
Africa (AF),486,0,0.6793050765991211,False
Africa (AF),434,0,0.6896262168884277,False
Africa (AF),510,0,0.7010390758514404,False
Africa (AF),323,0,0.7112839221954346,False
Africa (AF),486,0,0.7214090824127197,False
Africa (AF),434,0,0.7339258193969727,False
Africa (AF),510,0,0.7450399398803711,False
Africa (AF),323,0,0.7551639080047607,False
Africa (AF),486,0,0.7668190002441406,False
Africa (AF),434,0,0.7776780128479004,False
Africa (AF),510,0,0.7904140949249268,False
Africa (AF),323,0,0.8008928298950195,False
Africa (AF),486,0,0.8143711090087891,False
Africa (AF),434,0,0.8249740600585938,False
Africa (AF),510,0,0.8358898162841797,False
Africa (AF),323,0,0.846005916595459,False
Africa (AF),486,0,0.856658935546875,False
Africa (AF),434,0,0.8668360710144043,False
Africa (AF),510,0,0.8773410320281982,False
Africa (AF),323,0,0.8885397911071777,False
Africa (AF),486,0,0.8986339569091797,False
Africa (AF),434,0,0.9088759422302246,False
Africa (AF),510,0,0.9211630821228027,False
Africa (AF),323,0,0.9314770698547363,False
Africa (AF),486,0,0.9438138008117676,False
Africa (AF),434,0,0.9546518325805664,False
Africa (AF),510,0,0.9647529125213623,False
Africa (AF),323,0,0.9752471446990967,False
Africa (AF),486,0,0.9859020709991455,False
Africa (AF),434,0,0.9960310459136963,False
Africa (AF),510,0,1.007293939590454,False
Africa (AF),323,0,1.0185699462890625,False
Africa (AF),486,0,1.031177043914795,False
Africa (AF),434,0,0.059977054595947266,False
Africa (AF),510,0,0.07087993621826172,False
Africa (AF),323,0,0.08841490745544434,False
Africa (AF),486,0,0.10358977317810059,False
Africa (AF),434,0,0.1152200698852539,False
Africa (AF),510,0,0.12630915641784668,False
Africa (AF),323,0,0.13726806640625,False
Africa (AF),486,0,0.14763212203979492,False
Africa (AF),434,0,0.16004300117492676,False
Africa (AF),510,0,0.17026305198669434,False
Africa (AF),323,0,0.180711030960083,False
